"Title: Medicaid Postpartum Coverage Extension Tracker | KFF"
"Timeframe: March 19, 2026"
"Location","Medicaid/CHIP Income Eligibility Limit for Pregnancy (% FPL)","ACA Medicaid Expansion Status","Status of State Action","Limits on Coverage Period, Eligible Population, and/or Benefits",Footnotes
"Total: 50 states","N/A","Adopted: 40; Not adopted: 10","12-month extension implemented: 49;  Planning to implement a 12-month extension: 1","No limits: 50 states"
"Alabama","3.17","Not Adopted","12-month extension implemented","","1"
"Alaska","2.30","Adopted","12-month extension implemented","","2"
"Arizona","1.61","Adopted","12-month extension implemented","","3"
"California","3.22","Adopted","12-month extension implemented","","4"
"Colorado","2.65","Adopted","12-month extension implemented","","5"
"Connecticut","2.63","Adopted","12-month extension implemented","","6"
"Delaware","2.17","Adopted","12-month extension implemented","","7"
"District of Columbia","3.24","Adopted","12-month extension implemented","","8"
"Florida","1.96","Not Adopted","12-month extension implemented","","9"
"Georgia","2.25","Not Adopted","12-month extension implemented","","10"
"Hawaii","1.96","Adopted","12-month extension implemented","","11"
"Idaho","1.38","Adopted","12-month extension implemented","","12"
"Illinois","2.13","Adopted","12-month extension implemented","","13"
"Indiana","2.13","Adopted","12-month extension implemented","","14"
"Iowa","2.15","Adopted","12-month extension implemented","","15"
"Kansas","1.71","Not Adopted","12-month extension implemented","","16"
"Kentucky","2.18","Adopted","12-month extension implemented","","17"
"Louisiana","2.14","Adopted","12-month extension implemented","","18"
"Maine","2.14","Adopted","12-month extension implemented","","19"
"Maryland","2.64","Adopted","12-month extension implemented","","20"
"Massachusetts","2.05","Adopted","12-month extension implemented","","21"
"Michigan","2.00","Adopted","12-month extension implemented","","22"
"Minnesota","2.83","Adopted","12-month extension implemented","","23"
"Mississippi","1.99","Not Adopted","12-month extension implemented","","24"
"Missouri","3.05","Adopted","12-month extension implemented","","25"
"Montana","1.62","Adopted","12-month extension implemented","","26"
"Nebraska","2.02","Adopted","12-month extension implemented","","27"
"Nevada","1.90","Adopted","12-month extension implemented","","28"
"New Hampshire","2.01","Adopted","12-month extension implemented","","29"
"New Jersey","2.05","Adopted","12-month extension implemented","","30, 31"
"New Mexico","2.55","Adopted","12-month extension implemented","","32"
"New York","2.23","Adopted","12-month extension implemented","","33"
"North Carolina","2.01","Adopted","12-month extension implemented","","34"
"North Dakota","1.75","Adopted","12-month extension implemented","","35"
"Ohio","2.05","Adopted","12-month extension implemented","","36"
"Oklahoma","2.10","Adopted","12-month extension implemented","","37"
"Oregon","1.90","Adopted","12-month extension implemented","","38"
"Pennsylvania","2.20","Adopted","12-month extension implemented","","39"
"Rhode Island","2.58","Adopted","12-month extension implemented","","40"
"South Carolina","1.99","Not Adopted","12-month extension implemented","","41"
"South Dakota","1.38","Adopted","12-month extension implemented","","42"
"Tennessee","2.55","Not Adopted","12-month extension implemented","","43"
"Texas","2.07","Not Adopted","12-month extension implemented","","44"
"Utah","1.44","Adopted","12-month extension implemented","","45"
"Vermont","2.13","Adopted","12-month extension implemented","","46"
"Virginia","2.05","Adopted","12-month extension implemented","","30, 47"
"Washington","2.15","Adopted","12-month extension implemented","","48"
"West Virginia","3.05","Adopted","12-month extension implemented","","49"
"Wisconsin","3.06","Not Adopted","Planning to implement a 12-month extension","","30, 50"
"Wyoming","1.59","Not Adopted","12-month extension implemented","","51"
"Notes"
"Pending legislation includes legislation that has passed one or both chambers."
""
"Under current law, states must provide continuous coverage to Medicaid enrollees through the public health emergency (PHE) period to be eligible for enhanced federal matching funds under the Families First Coronavirus Response Act. States seeking to implement extended postpartum coverage after the end of the PHE but prior to April 1, 2022 must do so through a Section 1115 waiver or by using state funds.  "
""
"CMS approved the U.S. Virgin Island's [state plan amendment](https://www.medicaid.gov/medicaid/spa/downloads/VI-22-0004.pdf) on June 23, 2023."

"Sources"
"KFF analysis of approved and pending 1115 waivers, state legislation, and Medicaid state plan amendments. For links to key documents, click [here](https://docs.google.com/spreadsheets/d/18qVwD_MK6IOHYWyo9qACCxSWVdE40l-Gq20p2Jix6WI/edit#gid=0)."

"Definitions"
"*Medicaid/CHIP Income Eligibility Limit for Pregnancy*: This column indicates the upper Medicaid/CHIP income eligibility limit for pregnant women, calculated as a percent of the Federal Poverty Level (FPL). See [here](https://www.kff.org/report-section/a-look-at-medicaid-and-chip-eligibility-enrollment-and-renewal-policies-during-the-unwinding-of-continuous-enrollment-and-beyond-appendix-tables/#Table3) for more information on Medicaid and CHIP income eligibility limits for pregnant women."


Footnotes
"1. CMS approved Alabama's state plan amendment on January 13, 2023"
"2. CMS approved Alaska's state plan amendment on February 23, 2024"
"3. CMS approved Arizona's state plan amendment on April 6, 2023."
"4. CMS approved California's state plan amendment on May 25, 2022."
"5. CMS approved Colorado's state plan amendment on March 14, 2023"
"6. CMS approved Connecticut's state plan amendment on July 26, 2022."
"7. CMS approved Delaware's state plan amendment on May 15, 2023."
"8. CMS approved the District of Columbia's state plan amendment on June 16, 2022."
"9. Florida has received approval for its postpartum extension through a Section 1115 waiver."
"10. CMS approved Georgia's state plan amendment on October 27, 2022."
"11. CMS approved Hawaii's state plan amendment on August 16, 2022."
"12. CMS approved Idaho's state plan amendment on January 17, 2025"
"13. CMS approved Illinois' state plan amendment on October 20, 2022. Illinois also received approval for a CHIP state plan amendment to implement a health services initiative (HSI) to extend postpartum coverage from 60 days to 12 months under the CHIP unborn child option. This coverage applies to postpartum individuals who are not eligible for Medicaid due to immigration status."
"14. In June 2021, Indiana withdrew a pending 1115 waiver (Maternal Opioid Misuse Indiana Initiative) that would have extended postpartum coverage only to pregnant individuals with opioid use disorder. In a letter to CMS, the state announced its intention to pursue the broader postpartum coverage extension under the American Rescue Plan Act and CMS approved Indiana's state plan amendment on September 8, 2022."
"15. CMS approved Iowa's state plan amendment on January 6, 2025"
"16. CMS approved Kansas' state plan amendment on July 26, 2022."
"17. CMS approved Kentucky's state plan amendment on May 25, 2022."
"18. CMS approved Louisiana's state plan amendment on April 1, 2022."
"19. CMS approved Maine's state plan amendment on June 16, 2022."
"20. CMS approved Maryland's state plan amendment on August 16, 2022."
"21. In February 2022, Massachusetts sent a letter to CMS stating its intent to withdraw its pending 1115 waiver amendment under the MassHealth waiver that would have extended postpartum coverage to 12 months and instead pursue the postpartum coverage extension under the American Rescue Plan Act. On July 26, CMS approved Massachusetts' SPA for a 12-month PPC extension for Medicaid."
"22. CMS approved Michigan's state plan amendment on April 14, 2022."
"23. CMS approved Minnesota's state plan amendment on June 16, 2022."
"24. CMS approved Mississippi's state plan ammendment on December 13, 2023"
"25. CMS approved Missouri's state plan ammendment on November 14, 2023"
"26. CMS approved Montana's state plan amendment on October 16, 2023"
"27. CMS approved Nebraska's state plan amendment on December 8, 2023"
"28. CMS approved Nevada's state plan amendment on May 3, 2024"
"29. CMS approved New Hampshire's state plan amendment on November 3, 2023"
"30. Proposed/ Implemented postpartum Medicaid extensions in these states include continuous eligibility during the postpartum coverage period. Continuous eligibility allows postpartum individuals to remain enrolled during the extended postpartum period by disregarding changes in income that would make them ineligible for coverage."
"31. New Jersey has implemented its postpartum extension through a Section 1115 waiver."
"32. CMS approved New Mexico's state plan amendment on June 16, 2022."
