"Exported from the Centers for Medicare & Medicaid Services (CMS) Medicaid and Children's Health Insurance Program (CHIP) Core Set Data Dashboard, https://www.medicaid.gov/medicaid/quality-of-care/core-set-data-dashboard/. If the user sorted these data on the website, the sorting will not carry over into this file.",""
"Opening this file in Excel may alter the formatting of some values. In particular, Excel may add or remove trailing zeros in decimal places regardless of original formatting. Please open the file in a text editor or equivalent to see the values as they were exported.",""
Date of download: 05/05/2026,""
Measure name:,"Prenatal and Postpartum Care: Age 21 and Older (PPC2-AD)"
Measure description:,"Percentage of live birth deliveries to women age 21 and older that had (1) a prenatal care visit in the first trimester, on or before the Medicaid or CHIP enrollment start date, or within 42 days of enrollment, and (2) a postpartum visit on or between 7 and 84 days after delivery."
Rate,"Postpartum Care"
Data source:,"Adult Core Set"
Value directionality:,"Higher values are better"

State,Core Set Year,Population,Methodology,Percentage of Women Age 21 and Older Delivering a Live Birth who had a Postpartum Care Visit on or Between 7 and 84 Days after Delivery,Note
Missouri,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Other",Administrative,67.7%,"State-specific comments: Rates include FFS and managed care populations (4 MCOs). The state described the ""other"" population included in the measure as the following: ""separate CHIP."""
Montana,2024,,,Not reported by state,
Nebraska,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Individuals Dually Eligible for Medicare and Medicaid",Administrative,60.1%,"State-specific comments: Rates include managed care population (3 MCOs). State reported that rates exclude the following populations: ""Members who changed plans outside of open enrollment may have been omitted; however, members may only change plans for cause."" The state described the ""other"" data sources used to calculate the measure as the following: ""Health Plan Claims Data."" State noted: ""Two plans did not report Timeliness of Prenatal Care for this measure due to a reporting error."""
Nevada,2024,,,Not reported by state,
New Hampshire,2024,Medicaid (Title XIX),Hybrid,84.3%,"State-specific comments: Rates include managed care population (3 MCOs). State reported that rates exclude the following populations: ""FFS Excluded."" The state described the ""other"" data sources used to calculate the measure as the following: ""The Managed Care Organization's data is from their claims system."" Rates were audited or validated. State noted: ""Rate includes data from NH's three managed care programs which account for 99% of NH's full benefit Medicaid enrollment. The State of NH Medicaid program saw a substantial drop in enrollment in calendar year 2023, due to the COVID Public Health Emergency ending 3/31/2023."""
New Jersey,2024,"Medicaid (Title XIX), Individuals Dually Eligible for Medicare and Medicaid",Administrative,73.4%,"State-specific comments: Rates include FFS and managed care populations (5 MCOs). State reported that rates exclude the following populations: ""The State of New Jersey excluded individuals who moved between programs, plans, or delivery systems (approximately 3% of the measure-eligible population)."" The state described the ""other"" data sources used to calculate the measure as the following: ""HEDIS MY 2023 administrative collection method submitted by the MCOs."" Rates were audited or validated."
New Mexico,2024,,,Not reported by state,
New York,2024,Medicaid (Title XIX),Hybrid,84.4%,State-specific comments: Rates include managed care population (26 MCOs). Rates were audited or validated.
North Carolina,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Individuals Dually Eligible for Medicare and Medicaid",Administrative,60.2%,State-specific comments: Rates include FFS and managed care populations (5 MCOs). Rates were audited or validated.
North Dakota,2024,Medicaid (Title XIX),Administrative,54.7%,"State-specific comments: Rates include FFS, PCCM, and managed care populations (1 MCO). State reported that rates exclude the following populations: ""Excludes individuals that moved between programs, plans, or delivery systems."" Rates were audited or validated."
Ohio,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,62.2%,State-specific comments: Rates include FFS and managed care populations (7 MCOs).
Oklahoma,2024,"Medicaid (Title XIX), Individuals Dually Eligible for Medicare and Medicaid",Administrative,15.6%,"State-specific comments: Rates include FFS and PCCM populations. State reported that rates exclude the following population: ""Excluded members enrolled in a Home or Community Based Waiver."" State reported the following variation: ""Change from Technical Specifications for continuous enrollment to any number of allowable gaps up to 45 days instead of just one gap of up to 45 days."""
Oregon,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Individuals Dually Eligible for Medicare and Medicaid, Other",Administrative & Hybrid,78.3%,"State-specific comments: Rates include FFS and managed care populations (16 MCOs). The state described the ""other"" population included in the measure as the following: ""Separate CHIP."" Rates were derived using both administrative and hybrid method data. Deliveries for the FFS population were calculated using administrative data (1,403 deliveries). Deliveries for the managed care population (16 plans) were reviewed using hybrid data (sampling 4,816 cases out of 11,526 total eligible deliveries)."
Pennsylvania,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative & Hybrid,76.2%,"State-specific comments: Rates include managed care population (11 MCOs). State reported that rates exclude the following populations: ""Excludes the FFS population, which is inclusive of individuals that moved between programs, plans, or delivery systems."" The state described the ""other"" data sources used to calculate the measure as the following: ""The administrative data includes claims (including pharmacy and dental), eligibility, provider, and supplemental data from the MCOs."" Rates were derived using both administrative and hybrid method data. The reporting entities are managed care organizations (MCO). Eight (8) MCOs used the hybrid data source and three (3) MCOs used the administrative data source. The administrative method was used to include measure-eligible enrollees who switched between Medicaid and CHIP programs, delivery systems, or MCOs. Rates were audited or validated."
Puerto Rico,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,38.5%,"State-specific comments: Rates include managed care population (4 MCOs). The state described the ""other"" data sources used to calculate the measure as the following: ""MCO Data."" Rates were audited or validated."
Rhode Island,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Other",Hybrid,87.8%,"State-specific comments: Rates include managed care population (3 MCOs). State reported that rates exclude the following populations: ""The measure excludes the fee-for-service (FFS) population and beneficiaries who moved between plans during the measurement year."" The state described the ""other"" population included in the measure as the following: ""Separate CHIP (Title XXI)."" The state described the ""other"" data sources used to calculate the measure as the following: ""Administrative data as provided in HEDIS reports by Medicaid Managed Care Organizations (MCOs)."" Rates were audited or validated."
South Carolina,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,61.8%,State-specific comments: Rates include FFS and managed care populations (5 MCOs).
South Dakota,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Individuals Dually Eligible for Medicare and Medicaid, Separate CHIP (Title XXI)",Administrative,33.9%,State-specific comments: Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.
Tennessee,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Individuals Dually Eligible for Medicare and Medicaid, Other",Administrative,70.6%,"State-specific comments: Rates include managed care population (4 MCOs). The state described the ""other"" population included in the measure as the following: ""adult separate CHIP population included with adult Medicaid population."""
Texas,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,68.0%,"State-specific comments: Rates include FFS and managed care populations (16 MCOs). The state described the ""other"" data sources used to calculate the measure as the following: ""Two data sources were used to calculate the quality of care indicators: member level enrollment information and member level health care claims/encounter data. The enrollment files contained information about the member's age, gender, the MCO, and program in which the member is enrolled per month. Member-level claims/encounter data contained CPT, ICD10-CM, and place of service codes, and other information necessary to calculate the quality of care indicators."" Rates were audited or validated."
U.S. Virgin Islands,2024,,,Not reported by territory,
Utah,2024,Medicaid (Title XIX),Hybrid,95.1%,"State-specific comments: Rates include managed care population (4 MCOs). The state described the ""other"" data sources used to calculate the measure as the following: ""Rate includes Medicaid claims and encounter data. Prior year submissions only included encounter data. Reports generated using an administrative methodology. Rates may vary from the previous year that were calculated using a hybrid methodology."" Rates were audited or validated."
Vermont,2024,,,Not reported by state,
Virginia,2024,,,Not reported by state,
Washington,2024,"Medicaid (Title XIX), Individuals Dually Eligible for Medicare and Medicaid",Administrative,62.4%,"State-specific comments: Rates include FFS, PCCM, and managed care populations (5 MCOs). State reported that rates exclude the following populations: ""WA excluded beneficiaries with third-party-liability (TPL). Of the Medicaid eligible population, 16% had TPL."" The state described the ""other"" data sources used to calculate the measure as the following: ""Vital records."" State reported the following variation: ""WA included paid fee-for-service claims and reported managed care encounters that met state's data quality standards regardless of payment status by the MCO, as well as denied fee-for-service claims with a denial reason specifying third party liability or other payers. Denied fee-for-service claims were only evaluated for deliveries, prenatal visits, and postpartum visits, but not for non-live indicators or hospice use."" State noted: ""WA used vital records data as a supplement to administrative MMIS data. A birth certificate was found for 97.8% of the eligible population. When determining enrollment, WA used the 15th of the month."""
West Virginia,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Individuals Dually Eligible for Medicare and Medicaid, Separate CHIP (Title XXI)",Administrative,62.1%,State-specific comments: Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.
Wisconsin,2024,,,Not reported by state,
Wyoming,2024,"Medicaid (Title XIX), Individuals Dually Eligible for Medicare and Medicaid",Administrative,63.4%,State-specific comments: Rates include FFS population.
Minimum,2024,,,15.6%,
First quartile,2024,,,59.3%,
Median,2024,,,64.5%,
Third quartile,2024,,,73.5%,
Maximum,2024,,,95.1%,
