year,race_ethnicity,age_group,live_births,deaths,mortality_rate
2024,Asian,all_ages,226860,41,18.1
2024,Asian,under_25,10025,,
2024,Asian,25_to_39,200513,34,17.0
2024,Asian,40_and_older,16322,,
2024,Black or African American,all_ages,473377,212,44.8
2024,Black or African American,under_25,123063,35,28.4
2024,Black or African American,25_to_39,327982,144,43.9
2024,Black or African American,40_and_older,22332,33,147.8
2024,White,all_ages,1783156,254,14.2
2024,White,under_25,301335,30,10.0
2024,White,25_to_39,1412086,183,13.0
2024,White,40_and_older,69735,41,58.8
2024,Hispanic or Latino,all_ages,984092,119,12.1
2024,Hispanic or Latino,under_25,274850,31,11.3
2024,Hispanic or Latino,25_to_39,672341,75,11.2
2024,Hispanic or Latino,40_and_older,36901,13,35.2
